,model_name,num_files,preprocessing_time,inference_time,total_time
120,PCNNLSTM2,40001,241.07793760299683,11.013620853424072,252.0915584564209
121,PCNNLSTM2,42001,249.9224877357483,11.055896520614624,260.9783842563629
122,PCNNLSTM2,44001,261.06982135772705,12.092257738113403,273.16207909584045
123,PCNNLSTM2,46001,277.580286026001,11.907639026641846,289.4879250526428
124,PCNNLSTM2,48001,290.0580370426178,12.530476093292236,302.58851313591003
125,PCNNGRU,50000,315.42007422447205,19.232393741607662,334.6524679660797
126,PLSTM,50000,320.09729957580566,31.26984977722168,351.36714935302734
127,PCNNLSTM1,50000,308.03793358802795,12.19907283782959,320.23700642585754
128,PCNNLSTM2,50000,309.7244026660919,16.779772520065308,326.5041751861572
129,XGBoost,1,1.1169092179999325,1.7058045590000577,2.82271377699999
130,XGBoost,2001,3.778023650000023,0.4560849480000115,4.234108598000034
131,XGBoost,4001,5.769180942000048,0.7976705199999969,6.566851462000045
132,XGBoost,6001,7.801276843999972,0.9312930410000037,8.732569884999975
133,XGBoost,8001,11.016653223999924,1.906002522999984,12.922655746999908
134,XGBoost,10001,12.536227242999985,1.7679823920000215,14.304209635000007
135,XGBoost,12001,15.125566662999972,0.609733891000019,15.735300553999991
136,XGBoost,14001,17.479758963999984,0.9802939929999184,18.460052956999903
137,XGBoost,16001,30.564715955999983,0.8484373649999952,31.413153320999978
138,XGBoost,18001,22.74091290299998,1.9935662520000503,24.73447915500003
139,XGBoost,20001,34.14115244200002,0.6448565399999779,34.786008982
140,XGBoost,22001,34.18907862200001,0.7330174840000154,34.922096106000026
141,XGBoost,24001,30.18490741899996,0.8933563690000028,31.078263787999962
142,XGBoost,26001,33.866982742000005,0.803515258999937,34.67049800099994
143,XGBoost,28001,35.67864250700006,1.976994075999983,37.655636583000046
144,XGBoost,30001,38.35583898200002,2.0237630869999066,40.37960206899993
145,XGBoost,32001,44.41320881299998,1.116898271000082,45.530107084000065
146,XGBoost,34001,41.81192924099992,1.530431446000193,43.34236068700012
147,XGBoost,36001,45.34046884600002,1.1398927279999498,46.48036157399997
148,XGBoost,38001,47.205330354000125,1.1255185980000988,48.330848952000224
149,XGBoost,40001,51.43715523599985,1.1610341850000625,52.598189420999915
150,XGBoost,42001,51.975618248000046,1.3937590279999768,53.36937727600002
151,XGBoost,44001,55.0025497229999,1.2312220039998465,56.23377172699975
152,XGBoost,46001,57.34964926099997,1.012016087999882,58.36166534899985
153,XGBoost,48001,59.47578858299994,1.1248122100000728,60.60060079300001
154,XGBoost,50001,64.59412385699989,1.387315617000013,65.9814394739999
